name,ring,quadrant,isNew,description
Salesforce Pardot,Hold,Data Management,FALSE,<p>Use Braze instead</p>
Serverless Framework,Trial,Languages & Frameworks,FALSE,<p></p>
Sketch,Adopt,Tools & Infrastructure,FALSE,<p></p>
Snowflake,Adopt,Data Management,FALSE,<p></p>
Snyk,Assess,Languages & Frameworks,TRUE,<p></p>
Sonarqube,Adopt,Tools & Infrastructure,FALSE,<p></p>
Speedcurve.com,Adopt,Tools & Infrastructure,TRUE,<p></p>
SQL,Adopt,Languages & Frameworks,FALSE,<p>Database language</p>
Swift,Adopt,Languages & Frameworks,TRUE,<p></p>
Talend,Adopt,Tools & Infrastructure,FALSE,<p></p>
Taurus,Adopt,Tools & Infrastructure,FALSE,<p></p>
TeamCity,Hold,Tools & Infrastructure,FALSE,<p>Use Azure DevOps instead</p>
Terraform,Adopt,Tools & Infrastructure,TRUE,<p></p>
Trivy,Adopt,Languages & Frameworks,FALSE,<p></p>
Web Page Test,Hold,Tools & Infrastructure,FALSE,<p>Use speedcurve.com instead</p>
WebDriver IO,Adopt,Languages & Frameworks,FALSE,<p></p>
Whitesource bolt,Hold,Languages & Frameworks,TRUE,<p>Use Snyk instead</p>
wit.ai,Trial,Languages & Frameworks,TRUE,<p></p>
Xamarin,Adopt,Languages & Frameworks,FALSE,<p></p>
XUnit,Adopt,Languages & Frameworks,FALSE,<p></p>
Zeplin,Adopt,Tools & Infrastructure,FALSE,<p></p>
